column,null_count,non_null_count,unique_count,dtype,coverage,coverage_ok
abstract,0,10000,9998,object,1.0,True
authors,0,10000,9929,object,1.0,True
chembl_release,0,10000,31,object,1.0,True
contact,10000,0,0,object,0.0,False
database_version,0,10000,1,object,1.0,True
doc_type,0,10000,1,object,1.0,True
document_chembl_id,0,10000,10000,object,1.0,True
doi,0,10000,9996,object,1.0,True
doi_chembl,10000,0,0,object,0.0,False
extracted_at,0,10000,1,object,1.0,True
first_page,0,10000,6103,object,1.0,True
hash_business_key,0,10000,10000,object,1.0,True
hash_row,0,10000,10000,object,1.0,True
index,0,10000,10000,int64,1.0,True
issue,1455,8545,67,object,0.8545,True
journal,0,10000,29,object,1.0,True
journal_full_title,98,9902,24,object,0.9902,True
last_page,1,9999,6106,object,0.9999,True
patent_id,10000,0,0,object,0.0,False
pubmed_id,0,10000,9997,object,1.0,True
score,10000,0,0,float64,0.0,False
src_id,0,10000,3,float64,1.0,True
title,0,10000,9999,object,1.0,True
volume,6,9994,231,object,0.9994,True
year,0,10000,46,float64,1.0,True
